,电影,评分,链接,类型,地区,上映地点,时长(min),上映时间
94,变形金刚5：最后的骑士,7.4,http://maoyan.com/films/248645,"动作,冒险,科幻",美国,大陆上映,150.0,2017.0
95,忌日快乐,0.0,http://maoyan.com/films/1204714,"喜剧,惊悚,悬疑,犯罪",美国,大陆上映,96.0,2018.0
97,时空终点,0.0,http://maoyan.com/films/1211693,"惊悚,悬疑,科幻",中国大陆,大陆上映,95.0,2018.0
98,老兽,7.7,http://maoyan.com/films/1207099,剧情,中国大陆,大陆上映,110.0,2017.0
99,蜘蛛侠：英雄归来,8.1,http://maoyan.com/films/334620,"动作,冒险,科幻",美国,大陆上映,133.0,2017.0
100,相声大电影之我要幸福,5.6,http://maoyan.com/films/342362,"剧情,喜剧",中国大陆,大陆上映,92.0,2017.0
101,泡菜,7.2,http://maoyan.com/films/246131,剧情,中国大陆,大陆上映,90.0,2014.0
102,摔跤吧！爸爸,9.8,http://maoyan.com/films/588362,"喜剧,动作,家庭",印度,大陆上映,140.0,2017.0
103,金龟子,0.0,http://maoyan.com/films/1212533,动画,中国大陆,大陆上映,76.0,2018.0
106,追捕,7.6,http://maoyan.com/films/248075,"动作,犯罪","中国大陆,日本",大陆上映,107.0,2017.0
107,闺蜜2：无二不作,0.0,http://maoyan.com/films/247083,"剧情,喜剧,冒险",中国大陆,大陆上映,120.0,2018.0
108,深海越狱,0.0,http://maoyan.com/films/1200045,"动作,悬疑",加拿大,大陆上映,90.0,2018.0
109,无法触碰的爱,0.0,http://maoyan.com/films/368091,"剧情,爱情",中国大陆,大陆上映,100.0,2018.0
110,神剑传奇,0.0,http://maoyan.com/films/246183,"动画,冒险,奇幻",中国大陆,大陆上映,72.0,2018.0
113,神偷奶爸3,8.8,http://maoyan.com/films/249900,"喜剧,动画,冒险",美国,大陆上映,90.0,2017.0
114,英伦对决,8.4,http://maoyan.com/films/345420,"剧情,动作,犯罪","英国,中国大陆",大陆上映,116.0,2017.0
115,宝贝老板,0.0,http://maoyan.com/films/338451,"喜剧,动画,家庭",美国,大陆上映,97.0,2018.0
116,加勒比海盗5：死无对证,8.9,http://maoyan.com/films/246012,"喜剧,动作,奇幻",美国,大陆上映,129.0,2017.0
117,时空偷渡少女,0.0,http://maoyan.com/films/1189346,"剧情,爱情,科幻,奇幻",中国大陆,大陆上映,92.0,2018.0
118,二十二,9.2,http://maoyan.com/films/615739,纪录片,中国大陆,大陆上映,99.0,2017.0
119,只想好好和你在一起,0.0,http://maoyan.com/films/1212628,爱情,中国大陆,大陆上映,95.0,2018.0
122,堕落天使,0.0,http://maoyan.com/films/334941,"爱情,奇幻",英国,大陆上映,90.0,2018.0
123,尼斯：疯狂的心,0.0,http://maoyan.com/films/343447,"剧情,历史,传记",巴西,大陆上映,109.0,2018.0
124,天才枪手,8.8,http://maoyan.com/films/1204596,"剧情,悬疑,犯罪",泰国,大陆上映,130.0,2017.0
125,北平以北,0.0,http://maoyan.com/films/1211089,"战争,历史,纪录片",中国大陆,大陆上映,99.0,2017.0
127,金钱世界,0.0,http://maoyan.com/films/1203436,"剧情,犯罪",美国,大陆上映,133.0,2018.0
128,敦煌不了情,0.0,http://maoyan.com/films/1211086,"喜剧,爱情,冒险",中国大陆,大陆上映,92.0,2018.0
130,画框里的女人,0.0,http://maoyan.com/films/248666,剧情,"中国大陆,法国,美国",大陆上映,94.0,2018.0
131,余额不足,0.0,http://maoyan.com/films/1204800,喜剧,中国大陆,大陆上映,90.0,2018.0
132,阿修罗,0.0,http://maoyan.com/films/346096,"爱情,动作,奇幻",中国大陆,大陆上映,90.0,2018.0
133,五度空间,0.0,http://maoyan.com/films/652628,"惊悚,悬疑",中国大陆,大陆上映,88.0,2018.0
134,嘉年华,8.0,http://maoyan.com/films/1208113,"剧情,悬疑","中国大陆,法国",大陆上映,107.0,2017.0
136,逃离现场,0.0,http://maoyan.com/films/1187412,"惊悚,犯罪",中国大陆,大陆上映,86.0,2017.0
137,狂暴：世纪浩劫,0.0,http://maoyan.com/films/341624,"动作,冒险,科幻",美国,大陆上映,90.0,2018.0
139,悟空传,7.6,http://maoyan.com/films/341375,"剧情,动作,奇幻",中国大陆,大陆上映,123.0,2017.0
140,信仰；佛光普照,0.0,http://maoyan.com/films/1211660,纪录片,中国大陆,大陆上映,92.0,2018.0
141,半个月亮,0.0,http://maoyan.com/films/1212751,"剧情,家庭",中国大陆,大陆上映,102.0,2018.0
142,空难余波,6.5,http://maoyan.com/films/341112,剧情,美国,大陆上映,94.0,2017.0
143,空天猎,8.7,http://maoyan.com/films/346189,"动作,战争",中国大陆,:00大陆上映,115.0,2017.0
144,杀破狼·贪狼,8.5,http://maoyan.com/films/342176,"剧情,动作,犯罪","中国大陆,中国香港",大陆上映,101.0,2017.0
145,老海的新生活,7.0,http://maoyan.com/films/248854,剧情,中国大陆,大陆上映,89.0,2014.0
146,银翼杀手2049,7.2,http://maoyan.com/films/247784,"惊悚,科幻",美国,大陆上映,162.0,2017.0
148,天生不对,7.8,http://maoyan.com/films/342193,"喜剧,爱情",中国大陆,大陆上映,99.0,2017.0
149,星核,0.0,http://maoyan.com/films/341739,"科幻,动作",中国大陆,大陆上映,90.0,2018.0
150,引爆者,8.2,http://maoyan.com/films/1196171,"动作,犯罪",中国大陆,大陆上映,105.0,2017.0
151,通勤营救,0.0,http://maoyan.com/films/342900,"动作,惊悚",美国,大陆上映,105.0,2018.0
154,生门,9.1,http://maoyan.com/films/1132973,纪录片,中国大陆,大陆上映,105.0,2017.0
155,星际特工：千星之城,8.3,http://maoyan.com/films/249008,"动作,冒险,科幻",法国,大陆上映,137.0,2017.0
156,敦刻尔克,8.1,http://maoyan.com/films/342598,"剧情,战争,历史",美国,大陆上映,106.0,2017.0
157,梭哈人生,0.0,http://maoyan.com/films/1210930,"剧情,喜剧,爱情",中国大陆,大陆上映,90.0,2018.0
158,狂兽,7.8,http://maoyan.com/films/344500,"剧情,动作,犯罪","中国香港,中国大陆",大陆上映,100.0,2017.0
159,双面劫匪,8.5,http://maoyan.com/films/336946,"动作,惊悚,犯罪",美国,大陆上映,92.0,2017.0
160,密战,8.2,http://maoyan.com/films/338328,"剧情,动作,战争",中国大陆,大陆上映,102.0,2017.0
161,坏爸爸,0.0,http://maoyan.com/films/1212787,"剧情,家庭",中国大陆,大陆上映,92.0,2018.0
162,星球大战：原力觉醒,8.2,http://maoyan.com/films/78536,"冒险,科幻,奇幻",美国,大陆上映,136.0,2016.0
163,凌晨两点半,0.0,http://maoyan.com/films/1212344,"剧情,惊悚,悬疑",中国大陆,大陆上映,90.0,2018.0
164,莫名我就喜欢你,0.0,http://maoyan.com/films/1212210,"剧情,家庭,传记",中国大陆,大陆上映,93.0,2018.0
165,建军大业,9.1,http://maoyan.com/films/345011,"剧情,历史",中国大陆,大陆上映,133.0,2017.0
166,一个人的课堂,0.0,http://maoyan.com/films/341323,剧情,中国大陆,大陆上映,90.0,2018.0
168,恶作剧之吻,0.0,http://maoyan.com/films/344914,"喜剧,爱情",中国大陆,大陆上映,100.0,2018.0
169,断片之险途夺宝,0.0,http://maoyan.com/films/1189514,"喜剧,冒险",中国大陆,大陆上映,114.0,2018.0
170,人再囧途之泰囧,8.8,http://maoyan.com/films/938,喜剧,中国大陆,大陆上映,105.0,2012.0
171,猎凶风河谷,0.0,http://maoyan.com/films/345354,"剧情,悬疑,犯罪","英国,加拿大,美国",大陆上映,107.0,2018.0
172,麦兵兵之夺宝联“萌”,0.0,http://maoyan.com/films/341540,"喜剧,冒险,奇幻",中国大陆,大陆上映,85.0,2018.0
173,嫌疑人x的献身,8.6,http://maoyan.com/films/343012,"剧情,爱情,悬疑",中国大陆,大陆上映,112.0,2017.0
174,丢心,0.0,http://maoyan.com/films/1205145,剧情,中国大陆,大陆上映,104.0,2018.0
176,复仇者联盟4,0.0,http://maoyan.com/films/248172,"动作,科幻",美国,美国上映,195.0,2019.0
178,大话西游之大圣娶亲,8.8,http://maoyan.com/films/158,"喜剧,爱情,奇幻",中国香港,大陆上映,110.0,2014.0
180,24小时：末路重生,0.0,http://maoyan.com/films/475721,"动作,犯罪","南非,中国香港",大陆上映,93.0,2018.0
181,颤慄,0.0,http://maoyan.com/films/1203137,"恐怖,惊悚",中国大陆,大陆上映,90.0,2018.0
183,滚蛋吧！肿瘤君,9.0,http://maoyan.com/films/246505,"剧情,喜剧,爱情",中国大陆,大陆上映,125.0,2015.0
184,美人鱼,9.0,http://maoyan.com/films/246063,"喜剧,爱情,科幻","中国香港,中国大陆",大陆上映,93.0,2016.0
185,悔恨,0.0,http://maoyan.com/films/1212220,爱情,中国大陆,大陆上映,116.0,2017.0
186,新木乃伊,7.0,http://maoyan.com/films/249895,"动作,冒险,奇幻",美国,大陆上映,106.0,2017.0
